2.900000000000000000e+02,2.180000000000000000e+02
2.280000000000000000e+02,1.950000000000000000e+02
3.630000000000000000e+02,2.110000000000000000e+02
2.350000000000000000e+02,3.490000000000000000e+02
2.420000000000000000e+02,1.620000000000000000e+02
2.950000000000000000e+02,3.730000000000000000e+02
3.820000000000000000e+02,3.310000000000000000e+02
2.830000000000000000e+02,4.060000000000000000e+02
1.410000000000000000e+02,2.330000000000000000e+02
1.610000000000000000e+02,3.580000000000000000e+02
